id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,name,album,release,genre
3rOtzFTLlJN0b4s37i6IMT,0.502,0.622,9,-7.804,0,0.0323,0.559,0.538,0.309,0.365,117.091,audio_features,spotify:track:3rOtzFTLlJN0b4s37i6IMT,https://api.spotify.com/v1/tracks/3rOtzFTLlJN0b4s37i6IMT,https://api.spotify.com/v1/audio-analysis/3rOtzFTLlJN0b4s37i6IMT,270847,3,Boogarins,Desandar,Sombrou Dúvida,2019-05-10,indie
52C3ZiP6UF4EaY5HmWPmSk,0.382,0.487,11,-8.408,0,0.0316,0.756,0.0192,0.231,0.419,84.136,audio_features,spotify:track:52C3ZiP6UF4EaY5HmWPmSk,https://api.spotify.com/v1/tracks/52C3ZiP6UF4EaY5HmWPmSk,https://api.spotify.com/v1/audio-analysis/52C3ZiP6UF4EaY5HmWPmSk,280658,4,Boogarins,Te Quero Longe,Sombrou Dúvida,2019-05-10,indie
2jtXKniYNIVUKXZSsHiA8x,0.414,0.443,5,-10.456,0,0.129,0.422,1.41e-06,0.142,0.335,94.108,audio_features,spotify:track:2jtXKniYNIVUKXZSsHiA8x,https://api.spotify.com/v1/tracks/2jtXKniYNIVUKXZSsHiA8x,https://api.spotify.com/v1/audio-analysis/2jtXKniYNIVUKXZSsHiA8x,253372,4,Boogarins,Passeio,Sombrou Dúvida,2019-05-10,indie
1ROl52iBL7ZeheZSHxlcIM,0.556,0.575,0,-12.781,0,0.0421,0.274,0.0228,0.714,0.142,107.698,audio_features,spotify:track:1ROl52iBL7ZeheZSHxlcIM,https://api.spotify.com/v1/tracks/1ROl52iBL7ZeheZSHxlcIM,https://api.spotify.com/v1/audio-analysis/1ROl52iBL7ZeheZSHxlcIM,822888,4,Carne Doce,Comida Amarga / Irmãs,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
755kgadr4CUQaZ1ewyFwjM,0.601,0.523,4,-14.645,1,0.033,0.424,0.0512,0.576,0.282,118.021,audio_features,spotify:track:755kgadr4CUQaZ1ewyFwjM,https://api.spotify.com/v1/tracks/755kgadr4CUQaZ1ewyFwjM,https://api.spotify.com/v1/audio-analysis/755kgadr4CUQaZ1ewyFwjM,509284,4,Carne Doce,Temporal,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
1XT3WjHEe8rEpVYrJ5PYGS,0.51,0.458,2,-14.507,1,0.0589,0.458,6.04e-05,0.122,0.372,158.878,audio_features,spotify:track:1XT3WjHEe8rEpVYrJ5PYGS,https://api.spotify.com/v1/tracks/1XT3WjHEe8rEpVYrJ5PYGS,https://api.spotify.com/v1/audio-analysis/1XT3WjHEe8rEpVYrJ5PYGS,227634,4,Carne Doce,Amor Distrai (Durin),Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
16M8ywZ5MmykaVU37b1XtF,0.285,0.491,11,-11.866,0,0.0338,0.0525,0.0609,0.635,0.248,90.442,audio_features,spotify:track:16M8ywZ5MmykaVU37b1XtF,https://api.spotify.com/v1/tracks/16M8ywZ5MmykaVU37b1XtF,https://api.spotify.com/v1/audio-analysis/16M8ywZ5MmykaVU37b1XtF,743063,4,Carne Doce,Sereno / Carne Lab / Ideia,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
6UQia2IPjsLMziK03mYkAH,0.584,0.578,4,-12.666,1,0.0388,0.115,0.00769,0.651,0.248,131.523,audio_features,spotify:track:6UQia2IPjsLMziK03mYkAH,https://api.spotify.com/v1/tracks/6UQia2IPjsLMziK03mYkAH,https://api.spotify.com/v1/audio-analysis/6UQia2IPjsLMziK03mYkAH,287184,4,Carne Doce,Tônus,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
1KakttXIarCFNO1YPIUstq,0.379,0.49,1,-13.996,1,0.0439,0.51,0.0056,0.751,0.377,128.893,audio_features,spotify:track:1KakttXIarCFNO1YPIUstq,https://api.spotify.com/v1/tracks/1KakttXIarCFNO1YPIUstq,https://api.spotify.com/v1/audio-analysis/1KakttXIarCFNO1YPIUstq,271790,4,Carne Doce,Nova Nova,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
2reoHEa7gB0oYi0xiyTYd7,0.35,0.417,1,-15.093,1,0.0338,0.328,0.0791,0.669,0.165,144.162,audio_features,spotify:track:2reoHEa7gB0oYi0xiyTYd7,https://api.spotify.com/v1/tracks/2reoHEa7gB0oYi0xiyTYd7,https://api.spotify.com/v1/audio-analysis/2reoHEa7gB0oYi0xiyTYd7,432977,4,Carne Doce,Golpista,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
045crYjT09qCAP9QW4Pf7Z,0.498,0.519,8,-12.038,1,0.0336,0.0395,0.0143,0.914,0.228,110.304,audio_features,spotify:track:045crYjT09qCAP9QW4Pf7Z,https://api.spotify.com/v1/tracks/045crYjT09qCAP9QW4Pf7Z,https://api.spotify.com/v1/audio-analysis/045crYjT09qCAP9QW4Pf7Z,565871,4,Carne Doce,Açaí,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
0TgYSMunAln8U4s7Hwlpdo,0.365,0.666,11,-10.556,0,0.0582,0.0764,0.0355,0.958,0.22,129.344,audio_features,spotify:track:0TgYSMunAln8U4s7Hwlpdo,https://api.spotify.com/v1/tracks/0TgYSMunAln8U4s7Hwlpdo,https://api.spotify.com/v1/audio-analysis/0TgYSMunAln8U4s7Hwlpdo,445567,4,Carne Doce,Passivo,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
0BrxCArkC2NFlnSQIER3mM,0.547,0.486,7,-12.663,1,0.0514,0.47,0.0124,0.816,0.224,101.345,audio_features,spotify:track:0BrxCArkC2NFlnSQIER3mM,https://api.spotify.com/v1/tracks/0BrxCArkC2NFlnSQIER3mM,https://api.spotify.com/v1/audio-analysis/0BrxCArkC2NFlnSQIER3mM,387733,4,Carne Doce,Cetapensâno,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
7eUjlk0B946sbULzgIggN3,0.466,0.721,1,-12.689,0,0.114,0.433,0.00254,0.816,0.423,106.484,audio_features,spotify:track:7eUjlk0B946sbULzgIggN3,https://api.spotify.com/v1/tracks/7eUjlk0B946sbULzgIggN3,https://api.spotify.com/v1/audio-analysis/7eUjlk0B946sbULzgIggN3,378667,4,Carne Doce,Fruta Elétrica,Sessões Selo Sesc #10: Carne Doce,2020-11-11,indie
